Title,Type,Location,Address,Price,Cancellation Policy,Review Number,Overall Review,Rating,StaffFriendlinessR,Facilities,CleanlinessR,ComfortR,Cost-effectivenessR,LocationR,Free Wi-FiR,URL
제주골든파크호텔,호텔,"제주 시내, 제주","제주, 서광로2길 9",79422,무료취소,437,좋음,7.7,8.8,7.9,8.2,7.9,8.7,8.8,8.8,https://www.booking.com/hotel/kr/golden-park.ko.html?aid=304142&label=gen173nr-1FCAQoggJCDGNpdHlfLTcxNDE5MUgXWARopgKIAQGYARe4ARjIAQzYAQHoAQH4AQOIAgGoAgS4AsC-h6QGwAIB0gIkYWYxNTEwM2ItYzZhYy00MzlmLTg4NDMtZjQzOGE4MGM3ZmJh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-07-31&checkout=2023-08-02&dest_id=-714191&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=c55a62a00dac0037&srepoch=1686232898&all_sr_blocks=227143601_373261906_2_0_0&highlighted_blocks=227143601_373261906_2_0_0&matching_block_id=227143601_373261906_2_0_0&sr_pri_blocks=227143601_373261906_2_0_0__7920000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
그랜드 하얏트 제주,리조트,"제주 시내, 제주","제주, 노연로 12",855414,무료취소,1663,우수함,8.9,9.1,9.2,9.2,9.3,7.9,9.1,9.0,https://www.booking.com/hotel/kr/grand-hyatt-jeju.ko.html?aid=304142&label=gen173nr-1FCAQoggJCDGNpdHlfLTcxNDE5MUgXWARopgKIAQGYARe4ARjIAQzYAQHoAQH4AQOIAgGoAgS4AsC-h6QGwAIB0gIkYWYxNTEwM2ItYzZhYy00MzlmLTg4NDMtZjQzOGE4MGM3ZmJh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-07-31&checkout=2023-08-02&dest_id=-714191&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=c55a62a00dac0037&srepoch=1686232898&all_sr_blocks=678232218_352466769_2_2_0&highlighted_blocks=678232218_352466769_2_2_0&matching_block_id=678232218_352466769_2_2_0&sr_pri_blocks=678232218_352466769_2_2_0__85600000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
벤티모 호텔 앤 레지던스 제주,호텔,"제주 시내, 제주","제주, 연삼로 14",217434,무료취소,1080,우수함,8.9,9.4,9.2,9.3,9.3,9.1,9.0,9.1,https://www.booking.com/hotel/kr/bentimo-aen-rejideonseu-jeju.ko.html?aid=304142&label=gen173nr-1FCAQoggJCDGNpdHlfLTcxNDE5MUgXWARopgKIAQGYARe4ARjIAQzYAQHoAQH4AQOIAgGoAgS4AsC-h6QGwAIB0gIkYWYxNTEwM2ItYzZhYy00MzlmLTg4NDMtZjQzOGE4MGM3ZmJh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-07-31&checkout=2023-08-02&dest_id=-714191&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=c55a62a00dac0037&srepoch=1686232898&all_sr_blocks=703535911_331257085_2_0_0&highlighted_blocks=703535911_331257085_2_0_0&matching_block_id=703535911_331257085_2_0_0&sr_pri_blocks=703535911_331257085_2_0_0__21800040&from=searchresults#hotelTmpl
제주오리엔탈호텔 & 카지노,호텔,"제주 시내, 제주","제주, 탑동로 47",208320,무료취소,796,좋음,7.5,8.3,7.5,7.7,7.9,8.1,8.6,8.3,https://www.booking.com/hotel/kr/jeju-oriental.ko.html?aid=304142&label=gen173nr-1FCAQoggJCDGNpdHlfLTcxNDE5MUgXWARopgKIAQGYARe4ARjIAQzYAQHoAQH4AQOIAgGoAgS4AsC-h6QGwAIB0gIkYWYxNTEwM2ItYzZhYy00MzlmLTg4NDMtZjQzOGE4MGM3ZmJh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-07-31&checkout=2023-08-02&dest_id=-714191&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=c55a62a00dac0037&srepoch=1686232898&all_sr_blocks=178737019_255229886_2_2_0&highlighted_blocks=178737019_255229886_2_2_0&matching_block_id=178737019_255229886_2_2_0&sr_pri_blocks=178737019_255229886_2_2_0__20800000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
제주 리조트,호텔,"애월읍, 제주","제주, 애월읍 가문동상4길 11",166656,무료취소,118,매우 좋음,8.1,8.7,8.4,8.4,8.5,8.7,8.3,8.1,https://www.booking.com/hotel/kr/jeju-resort.ko.html?aid=304142&label=gen173nr-1FCAQoggJCDGNpdHlfLTcxNDE5MUgXWARopgKIAQGYARe4ARjIAQzYAQHoAQH4AQOIAgGoAgS4AsC-h6QGwAIB0gIkYWYxNTEwM2ItYzZhYy00MzlmLTg4NDMtZjQzOGE4MGM3ZmJh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-07-31&checkout=2023-08-02&dest_id=-714191&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=c55a62a00dac0037&srepoch=1686232898&all_sr_blocks=124697802_0_2_0_0&highlighted_blocks=124697802_0_2_0_0&matching_block_id=124697802_0_2_0_0&sr_pri_blocks=124697802_0_2_0_0__16646218&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
호텔 위드 제주,호텔,"제주 시내, 제주","제주, 노연로 34",160146,무료취소,1069,좋음,7.9,8.3,8.0,8.2,8.2,8.6,8.8,8.5,https://www.booking.com/hotel/kr/with-jeju.ko.html?aid=304142&label=gen173nr-1FCAQoggJCDGNpdHlfLTcxNDE5MUgXWARopgKIAQGYARe4ARjIAQzYAQHoAQH4AQOIAgGoAgS4AsC-h6QGwAIB0gIkYWYxNTEwM2ItYzZhYy00MzlmLTg4NDMtZjQzOGE4MGM3ZmJh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-07-31&checkout=2023-08-02&dest_id=-714191&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=c55a62a00dac0037&srepoch=1686232898&all_sr_blocks=244260502_279937772_2_2_0&highlighted_blocks=244260502_279937772_2_2_0&matching_block_id=244260502_279937772_2_2_0&sr_pri_blocks=244260502_279937772_2_2_0__16000000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
호텔 레오,호텔,"제주 시내, 제주","제주, 삼무로 14",217434,무료취소,845,우수함,8.8,9.5,8.9,9.1,9.1,9.1,9.2,9.3,https://www.booking.com/hotel/kr/leo.ko.html?aid=304142&label=gen173nr-1FCAQoggJCDGNpdHlfLTcxNDE5MUgXWARopgKIAQGYARe4ARjIAQzYAQHoAQH4AQOIAgGoAgS4AsC-h6QGwAIB0gIkYWYxNTEwM2ItYzZhYy00MzlmLTg4NDMtZjQzOGE4MGM3ZmJh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-07-31&checkout=2023-08-02&dest_id=-714191&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=c55a62a00dac0037&srepoch=1686232898&all_sr_blocks=116176001_371517526_2_2_0&highlighted_blocks=116176001_371517526_2_2_0&matching_block_id=116176001_371517526_2_2_0&sr_pri_blocks=116176001_371517526_2_2_0__21780000&from=searchresults#hotelTmpl
아시아 호텔(구. 아비아호텔),호텔,"제주 시내, 제주","제주, 제주시 노연로 53",148428,무료취소,608,매우 좋음,8.4,8.7,8.4,8.6,8.6,9.0,8.9,9.2,https://www.booking.com/hotel/kr/avia.ko.html?aid=304142&label=gen173nr-1FCAQoggJCDGNpdHlfLTcxNDE5MUgXWARopgKIAQGYARe4ARjIAQzYAQHoAQH4AQOIAgGoAgS4AsC-h6QGwAIB0gIkYWYxNTEwM2ItYzZhYy00MzlmLTg4NDMtZjQzOGE4MGM3ZmJh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-07-31&checkout=2023-08-02&dest_id=-714191&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=c55a62a00dac0037&srepoch=1686232898&all_sr_blocks=563678402_0_2_0_0&highlighted_blocks=563678402_0_2_0_0&matching_block_id=563678402_0_2_0_0&sr_pri_blocks=563678402_0_2_0_0__14912237&from=searchresults#hotelTmpl
아스타호텔,호텔,"제주 시내, 제주","제주, 서사로 129",208320,무료취소,1210,매우 좋음,8.4,8.9,8.6,8.7,8.6,8.8,8.6,8.5,https://www.booking.com/hotel/kr/astar.ko.html?aid=304142&label=gen173nr-1FCAQoggJCDGNpdHlfLTcxNDE5MUgXWARopgKIAQGYARe4ARjIAQzYAQHoAQH4AQOIAgGoAgS4AsC-h6QGwAIB0gIkYWYxNTEwM2ItYzZhYy00MzlmLTg4NDMtZjQzOGE4MGM3ZmJh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-07-31&checkout=2023-08-02&dest_id=-714191&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=c55a62a00dac0037&srepoch=1686232898&all_sr_blocks=117246919_270500064_2_2_0&highlighted_blocks=117246919_270500064_2_2_0&matching_block_id=117246919_270500064_2_2_0&sr_pri_blocks=117246919_270500064_2_2_0__20900000&from=searchresults#hotelTmpl
신신호텔 제주공항,호텔,"제주 시내, 제주","제주, 도령로 124",126294,무료취소,789,좋음,7.5,8.1,7.8,7.7,7.8,8.3,8.7,8.4,https://www.booking.com/hotel/kr/jk-ramada-encore-jeju.ko.html?aid=304142&label=gen173nr-1FCAQoggJCDGNpdHlfLTcxNDE5MUgXWARopgKIAQGYARe4ARjIAQzYAQHoAQH4AQOIAgGoAgS4AsC-h6QGwAIB0gIkYWYxNTEwM2ItYzZhYy00MzlmLTg4NDMtZjQzOGE4MGM3ZmJh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-07-31&checkout=2023-08-02&dest_id=-714191&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=c55a62a00dac0037&srepoch=1686232898&all_sr_blocks=159585512_310491176_2_2_0&highlighted_blocks=159585512_310491176_2_2_0&matching_block_id=159585512_310491176_2_2_0&sr_pri_blocks=159585512_310491176_2_2_0__12600000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
